conflict_id	left_rule	right_rule	overlap_condition	relation	resolution	status	note
CTC-001	constructional_neutral_identity_v1	yi_context_assignment_v1	V一V中的一	blocks	选择构式轻声分支；不执行一的普通条件调值	research_only	这是读法分支裁决，不宣称存在普遍语言学优先级
CTC-002	constructional_neutral_identity_v1	bu_context_assignment_v1	A不A或V不V中的不	blocks	选择构式轻声分支；不执行不的普通条件调值	research_only	具体构式仍须词条或构式证据
CTC-003	lexical_neutral_identity_v1	t3_context_assignment_v1	同一音节已有词汇轻声读法且规范本调为上声	exclusive_with	轻声读法和非轻声读法分成并列分支，不在同一分支叠加	approved_engineering_boundary	不得用上声规则寻找或伪造轻声深层本调
CTC-004	er_suffix_neutral_pitch_v1	fused_erhua_quality_v1	同一来源同时允许儿缀兼容和融合儿化	exclusive_with	生成两条并行路径；每条路径内部只执行自己的规则	research_only	不得从儿缀扁平码删除er5生成融合路径
CTC-005	t3_context_assignment_v1	prosodic_domain_partition_v1	三个及以上连续上声存在多个韵律分组	requires	没有显式分组时暂缓；有多种证据时保存并列语流别名	deferred	不使用全句递归扫描选择唯一结果
CTC-006	neutral_surface_pitch_v1	consecutive_neutral_chain_v1	轻声音节的直接前驱也是轻声	exclusive_with	退出简单轻声规则并进入连续轻声专题	deferred	不得用前一轻声的规范调号冒充表层条件
CTC-007	qi_ba_optional_assignment_v1	yi_context_assignment_v1	试图把七八与一合并为阴平全局规则	blocks	七八保持独立可选规则且默认关闭	approved_engineering_boundary	不建立阴平遇去声一律变调的规则
CTC-008	three_mode_projection_v1	prosodic_domain_partition_v1	存在尚未裁决的韵律域、读法分支或规则冲突	requires	拒绝投影并写入复核报告	approved_engineering_boundary	不能为了得到编码而猜造语言事实
CTC-009	zero_initial_realization_v1	prosodic_domain_partition_v1	虚首音实际音值随音节或语境发生变化	requires	没有具体音节、语境和来源证据时保留规范零声母兼容路径并暂缓表层投影	deferred	不得把一种虚首音实现推广到全部零声母音节
CTC-010	particle_a_allomorphy_v1	construction_reading_branch_v1	语气词啊的表层实现与候选文字呀哇哪啊可能不一致	requires	保留候选原字；只有显式词条或构式记录才能提供文字变体	approved_engineering_boundary	不得仅据相邻读音自动替换候选汉字
CTC-011	boundary_quality_interaction_v1	prosodic_domain_partition_v1	末音和下一首音跨越词界或韵律边界时可能同化或异化	requires	必须有明确边界、方向、特征、来源和排除项，否则暂缓	deferred	不从音元相似性自动推导全局同化规则
CTC-012	quality_weakening_extension_v1	three_mode_projection_v1	音质弱化或相邻韵核音质延展需要投影到音元位置	requires	只允许既有四音元位置内的音质替换，并另存音质与并行音高特征的时域联结关系	approved_engineering_boundary	音元模型不存在音元增减；不能把语音描写中的时长变化误作结构位置变化
CTC-013	particle_a_allomorphy_v1	boundary_quality_interaction_v1	语气词啊同时符合专门音变规则和一般边界同化描述	blocks	同一分支采用有明确前音类别的语气词专门规则，不再叠加一般边界规则	research_only	这是防止重复应用的工程边界，不主张语言学总优先级
CTC-014	other_quality_change_v1	three_mode_projection_v1	未分类音质变化试图通过兜底规则直接产生编码	requires	保持暂缓并先建立独立现象规则来源范围排除项和冲突记录	approved_engineering_boundary	其它类别只用于登记未知问题，不能成为万能生成器
