text	source_full_code	numeric_pinyin	marked_pinyin
㓵	'rew	e4	è
㔩	'rew	e4	è
㕎	'rew	e4	è
㖾	'rew	e4	è
㗁	'rew	e4	è
㗉	'rew	e4	è
㛕	'rew	e4	è
㟧	'rew	e4	è
㟯	'rew	e4	è
㠋	'rew	e4	è
㡋	'rew	e4	è
㣂	'rew	e4	è
㦍	'rew	e4	è
㧖	'rew	e4	è
㧴	'wer	e2	é
㩵	'rew	e4	è
㩽	'rew	e4	è
㫊	'www	e3	ě
㮙	'rew	e4	è
㱄	-rew	mo4	mò
㱦	'rew	e4	è
㱳	-rew	mo4	mò
㵹	-rew	mo4	mò
㶬	-rew	mo4	mò
㷈	'rew	e4	è
㷬	-rew	mo4	mò
㷵	-rew	mo4	mò
㹮	-rew	mo4	mò
㼂	'wer	e2	é
㼢	'www	e3	ě
㼰	'wer	e2	é
㾺	-rew	mo4	mò
䁼	-rew	mo4	mò
䁿	-rew	mo4	mò
䃺	-rew	mo4	mò
䄉	'wer	e2	é
䆓	'rew	e4	è
䋪	'rrr	e1	ē
䏞	-rew	mo4	mò
䑥	'rew	e4	è
䑪	'rew	e4	è
䒬	-rew	mo4	mò
䓊	'rew	e4	è
䔾	'rew	e4	è
䕏	'wer	e2	é
䖸	'wer	e2	é
䘃	-rew	mo4	mò
䘑	-rew	mo4	mò
䙳	'rew	e4	è
䚰	'wer	e2	é
䛖	'rew	e4	è
䛩	'rew	e4	è
䜆	-rew	mo4	mò
䜙	'rew	e4	è
䝈	'rew	e4	è
䞩	'rew	e4	è
䣞	'rew	e4	è
䤉	-rew	mo4	mò
䩹	'wer	e2	é
䫷	'rew	e4	è
䬴	-rew	mo4	mò
䮬	-rew	mo4	mò
䱅	-rew	mo4	mò
䱮	'wer	e2	é
䳗	'wer	e2	é
䳘	'wer	e2	é
䳬	'rew	e4	è
䳮	-rew	mo4	mò
䴲	-rew	mo4	mò
一下么	ylkj1jds-eee	yi2 xia4 me5	yí xià me
一下了	ylkj1jds\eee	yi2 xia4 le5	yí xià le
一下哦	ylkj1jds'wer	yi2 xia4 o2	yí xià ó
一丘貉	yjjj2jru-rew	yi1 qiu1 mo4	yī qiū mò
一个了	ylkjgrew\eee	yi2 ge4 le5	yí gè le
一些了	yjkl1jvv\eee	yi4 xie1 le5	yì xiē le
