review_id	text	canonical_pinyin	expected_surface_pinyin	class_id	stage6b_record_id_snapshot	priority_weight_snapshot	evidence_class	review_status	runtime_status	source_ids	note
PA-6C-001	样子啊	yang4 zi5 a5	yang4 zi5 za5	PA-APICAL-FRONT	PA-6B-00090	1938	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	舌尖前元音类高频样本；候选文字保持“啊”
PA-6C-002	日子啊	ri4 zi5 a5	ri4 zi5 za5	PA-APICAL-FRONT	PA-6B-00080	1911	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	舌尖前元音类高频样本
PA-6C-003	公司啊	gong1 si1 a5	gong1 si1 za5	PA-APICAL-FRONT	PA-6B-00020	1911	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	舌尖前元音类高频样本
PA-6C-004	如此啊	ru2 ci3 a5	ru2 ci3 za5	PA-APICAL-FRONT	PA-6B-00048	1888	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	舌尖前元音类高频样本
PA-6C-005	房子啊	fang2 zi5 a5	fang2 zi5 za5	PA-APICAL-FRONT	PA-6B-00072	1865	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	舌尖前元音类高频样本
PA-6C-006	人啊	ren2 a5	ren2 na5	PA-N	PA-6B-00301	1970	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	n尾类高频样本
PA-6C-007	方便啊	fang1 bian4 a5	fang1 bian4 na5	PA-N	PA-6B-00919	1950	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	n尾类高频样本
PA-6C-008	你们啊	ni3 men5 a5	ni3 men5 na5	PA-N	PA-6B-00346	1943	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	n尾类含轻声音节样本；只复核末音条件读法
PA-6C-009	一点啊	yi4 dian3 a5	yi4 dian3 na5	PA-N	PA-6B-00190	1942	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	n尾类高频样本
PA-6C-010	天啊	tian1 a5	tian1 na5	PA-N	PA-6B-00589	1935	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	n尾类直接双音节样本
PA-6C-011	不行啊	bu4 xing2 a5	bu4 xing2 nga5	PA-NG	PA-6B-01605	1989	semantic_only_shared_key	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	N26与N12共键；只验证语义ID不新增输入路径
PA-6C-012	一样啊	yi2 yang4 a5	yi2 yang4 nga5	PA-NG	PA-6B-01556	1973	semantic_only_shared_key	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	N26与N12共键；只验证语义ID
PA-6C-013	这样啊	zhe4 yang4 a5	zhe4 yang4 nga5	PA-NG	PA-6B-02497	1950	semantic_only_shared_key	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	N26与N12共键；只验证语义ID
PA-6C-014	好用啊	hao3 yong4 a5	hao3 yong4 nga5	PA-NG	PA-6B-01901	1942	semantic_only_shared_key	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	N26与N12共键；只验证语义ID
