id	source_path	target_path	category	action	tracked	packaged	external_dependency	verification	status	notes
GOV-001	AGENTS.md; docs/CURRENT_ARCHITECTURE.md; docs/SYLLABLE_ENCODING_RULES.md	AGENTS.md; docs/lexicon/	governance	migrate-and-reconcile	yes	no	no	document review + forbidden-second-source checks	planned	Preserve instance-driven encoding and no-handwritten-code rules.
GOV-002	docs/LAYOUT_CHANGE_LOCK.md	docs/lexicon/LAYOUT_CHANGE_LOCK.md	governance	migrate	yes	no	no	layout lock test	planned	Layout changes may touch only the unique layout source.
SRC-001	internal_data/pinyin_source_db/	tools/lexicon/data/pinyin_source_db/	reviewed-source	migrate	yes	no	no	source bundle hash + review-decision tests	planned	Keep reviewed decisions and provenance; exclude generated queues.
SRC-002	yime/lexicon_bundle/	tools/lexicon/data/source_bundle/	canonical-source	migrate	yes	no	no	bundle manifest and entry hash parity	planned	Canonical text/readings/source evidence.
SRC-003	external_data/	external artifact store + tools/lexicon/input-lock.json	raw-large-source	externalize	mixed	no	yes	SHA-256, size, license and retrieval check	planned	Do not copy large corpora into Git.
SRC-004	manual reviewed TSV/JSON decisions under internal_data/ and yime/reports/	tools/lexicon/data/reviewed/	reviewed-source	classify-and-migrate	mixed	no	maybe	decision count and provenance parity	planned	Migrate only authoritative decisions, not generated report copies.
ENC-001	syllable/	tools/lexicon/yime_lexicon/syllable/	formal-encoding	migrate	yes	no	no	full unit suite + decomposition export parity	planned	Formal SyllableEncodingPipeline/YinjieEncoder chain.
ENC-002	internal_data/syllable_encoding_rule_catalog.json	tools/lexicon/data/syllable_encoding_rule_catalog.json	formal-rule	migrate	yes	no	no	rule catalog schema and no-ID/no-key checks	planned	Must explain sources and transforms only.
ENC-003	yime/utils/code_modes.py; syllable/codec/variable_length_yinyuan/; syllable/codec/input_shorthand/	go-backend/input_methods/yime/codemode/ + parity fixtures	mode-derivation	reconcile	yes	no	no	Python/Go exhaustive parity test	planned	Go codemode remains Windows derivation authority after parity proof.
ENC-004	syllable/codec/yinjie_jianpin_draft.py	docs/archive/prototype/	legacy-draft	archive	yes	no	no	must not be imported by production tests	planned	Never promote draft compatibility code to formal shorthand source.
LAY-001	internal_data/manual_key_layout.json	go-backend/input_methods/yime/data/manual_key_layout.json	layout-source	migrate-or-alias	yes	yes	no	full SHA-256 and layout lock parity	planned	Establish one physical canonical file or generated verified copy.
LAY-002	internal_data key maps and layout metadata	tools/lexicon/data/layout/	layout-support	classify-and-migrate	mixed	maybe	layout projection and manifest parity	planned	Reject any second manually maintained key map.
LEX-001	tools/build_pinyin_source_bundle.py	tools/lexicon/build_source_bundle.py	builder	migrate	yes	no	yes	isolated deterministic rebuild	planned	Inputs must be explicit and locked.
LEX-002	yime/input_model/	tools/lexicon/yime_lexicon/input_model/	model	migrate	yes	no	no	model manifest/hash parity	planned	Offline only.
LEX-003	tools/build_input_model.py; tools/build_recursive_composition.py	tools/lexicon/	builder	migrate	yes	no	yes	unit + golden manifest parity	planned	Preserve source and review provenance.
LEX-004	tools/analyze_static_lexicon_capacity.py	tools/lexicon/analyze_static_capacity.py	analysis	migrate	yes	no	yes	capacity counts/hash parity	planned	Generated capacity outputs remain ignored.
LEX-005	tools/build_two_level_runtime_trial.py	tools/lexicon/build_core_selection.py	builder	migrate-and-fix	yes	no	yes	two clean rebuilds reproduce 1,167,501 and target hashes	blocked	Remove implicit mutable yime/pinyin_hanzi.db default and restore every approved sound-change input before migration acceptance.
LEX-006	ranking and dynamic coverage modules/tools	tools/lexicon/yime_lexicon/ranking/; tools/lexicon/yime_lexicon/coverage/	policy	classify-and-migrate	mixed	no	yes	ranking fixture + coverage gate parity	planned	Keep policy and reviewed evidence, not bulky reports.
LEX-007	yime/pinyin_hanzi.db	external artifact store	runtime-database	externalize	no	no	yes	immutable input manifest + restore test	blocked	Current mutable default contributes to unreproducible release identity.
LEX-008	yime/backup/*.bak	external archive	database-backup	archive-then-delete	no	no	yes	SHA-256 inventory + restore sampling	deferred	Approximately 98 GiB; deletion requires separate authorization after exit gates.
