review_id	decision	applicable_context	blocking_context	trial_eligibility	input_policy	adjudicator	adjudicated_on	note
T3-5B-001	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	领导在通常连续语流中核准阳平加上声
T3-5B-002	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	影响在通常连续语流中核准阳平加上声
T3-5B-003	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	友好在通常连续语流中核准阳平加上声
T3-5B-004	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	了解在通常连续语流中核准阳平加上声
T3-5B-005	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	引导在通常连续语流中核准阳平加上声
T3-5B-006	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	小组在通常连续语流中核准阳平加上声
T3-5B-007	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	选举在通常连续语流中核准阳平加上声
T3-5B-008	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	永远在通常连续语流中核准阳平加上声
T3-5B-009	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	选手在通常连续语流中核准阳平加上声
T3-5B-010	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	品种在通常连续语流中核准阳平加上声
